run_index,seed,n_players_per_group,elapsed_seconds,vo_vi_n_unique,vo_vi_unique_ratio,vo_vi_pct_sharing,vo_vi_max_cluster,tinh_cam_n_unique,tinh_cam_unique_ratio,tinh_cam_pct_sharing,tinh_cam_max_cluster
0,0,5000000,26.274,4592988,0.9185976,15.8277,5,3549040,0.709808,46.10278,41
1,1,5000000,24.798,4591663,0.9183326,15.8765,5,3549665,0.709933,46.08364,34
2,2,5000000,28.387,4592043,0.9184086,15.86574,5,3550497,0.7100994,46.0741,40
3,3,5000000,25.06,4593257,0.9186514,15.8171,6,3548540,0.709708,46.094,43
4,4,5000000,23.81,4592173,0.9184346,15.85828,6,3550702,0.7101404,46.05464,38
5,5,5000000,23.862,4592283,0.9184566,15.85156,5,3549199,0.7098398,46.09894,38
6,6,5000000,23.827,4592680,0.918536,15.84014,5,3550475,0.710095,46.07322,39
7,7,5000000,23.713,4593135,0.918627,15.82322,6,3550157,0.7100314,46.08758,39
8,8,5000000,23.963,4591822,0.9183644,15.87156,5,3549409,0.7098818,46.103,37
9,9,5000000,24.176,4592470,0.918494,15.84448,5,3549911,0.7099822,46.09414,45
10,10,5000000,23.747,4592357,0.9184714,15.8493,6,3549501,0.7099002,46.09156,44
11,11,5000000,23.862,4592515,0.918503,15.8457,6,3550284,0.7100568,46.0648,37
12,12,5000000,23.91,4592119,0.9184238,15.85386,6,3550366,0.7100732,46.08294,39
13,13,5000000,23.799,4592764,0.9185528,15.83396,6,3550288,0.7100576,46.06924,39
14,14,5000000,23.784,4592350,0.91847,15.84786,5,3549527,0.7099054,46.10126,37
15,15,5000000,23.863,4593759,0.9187518,15.79254,5,3550763,0.7101526,46.0624,37
16,16,5000000,24.054,4593065,0.918613,15.82484,6,3549795,0.709959,46.0774,36
17,17,5000000,24.804,4592905,0.918581,15.8263,6,3549936,0.7099872,46.06352,38
18,18,5000000,24.557,4592233,0.9184466,15.85186,6,3548293,0.7096586,46.11036,42
19,19,5000000,24.863,4593307,0.9186614,15.81134,6,3549624,0.7099248,46.09934,40
20,20,5000000,25.145,4592033,0.9184066,15.8586,5,3550021,0.7100042,46.08416,38
21,21,5000000,24.603,4593040,0.918608,15.82114,5,3551588,0.7103176,46.03926,39
22,22,5000000,23.99,4592314,0.9184628,15.85018,6,3549439,0.7098878,46.09352,37
23,23,5000000,24.879,4592656,0.9185312,15.8464,6,3549786,0.7099572,46.09038,38
24,24,5000000,23.866,4592202,0.9184404,15.85812,6,3549714,0.7099428,46.0889,38
25,25,5000000,23.815,4593228,0.9186456,15.81852,5,3548851,0.7097702,46.12132,45
26,26,5000000,23.951,4592384,0.9184768,15.85262,6,3548064,0.7096128,46.13884,37
27,27,5000000,26.705,4592590,0.918518,15.8439,5,3548976,0.7097952,46.11104,41
28,28,5000000,27.1,4592819,0.9185638,15.83442,5,3548646,0.7097292,46.11208,38
29,29,5000000,27.254,4593094,0.9186188,15.81894,6,3548042,0.7096084,46.15546,41
30,30,5000000,26.782,4592880,0.918576,15.82692,6,3549612,0.7099224,46.09956,34
